code,web_name,full_name,position,team_name,team_short,now_cost_m,age,status,availability,availability_reason,news,seasons_played,total_minutes,total_points,total_goals,total_assists,last_season_points,w_points_per_90,shrunk_points_per_90,age_factor,adjusted_points_per_90,confidence,team_factor,expected_minute_share,projected_minutes,projected_points,points_per_million,naive_points_per_season,selected_by_percent,has_history,starting_xi
154561,Raya,David Raya Martín,GKP,Arsenal,ARS,6.0,30.9,a,1.0,fully available,,5.0,15210.0,700.0,0.0,0.0,162.0,4.1495485327313775,3.893959303214995,0.991,4.7078746767729935,1.0,1.22,0.947,3224.16567,168.65519901682035,28.109199836136725,140.0,35.5,True,True
226597,Gabriel,Gabriel dos Santos Magalhães,DEF,Arsenal,ARS,8.0,28.7,a,1.0,fully available,,5.0,14627.0,767.0,17.0,8.0,209.0,5.185633949380983,4.613149061828324,0.976,5.492968850900221,1.0,1.22,0.8147482456140351,2753.001732,168.02391955944842,21.00298994493105,153.4,29.2,True,True
209036,Guéhi,Marc Guéhi,DEF,Man City,MCI,6.0,26.1,a,1.0,fully available,,5.0,14781.0,579.0,9.0,9.0,179.0,3.8961461546283433,3.646522923429208,1.0,4.044830280551667,1.0,1.1092293577981651,0.8830979532163742,3020.195,135.735290990786,22.622548498464337,115.8,19.3,True,True
244723,Mitchell,Tyrick Mitchell,DEF,Crystal Palace,CRY,4.5,27.0,a,1.0,fully available,,5.0,15537.0,579.0,3.0,16.0,135.0,3.4867576192958585,3.3402720768567846,1.0,3.377545583502651,1.0,1.0111588235294118,0.930825730994152,3183.424,119.46844079573717,26.5485423990527,115.8,6.6,True,True
446008,Mbeumo,Bryan Mbeumo,MID,Man Utd,MUN,8.0,27.0,a,1.0,fully available,,5.0,13793.0,780.0,53.0,35.0,148.0,5.378904212783218,4.989505282904064,1.0,5.07270618130624,1.0,1.0166751799396332,0.7919818713450292,2708.578,152.6646707016677,19.08308383770846,156.0,32.7,True,True
204480,Rice,Declan Rice,MID,Arsenal,ARS,7.5,27.6,a,1.0,fully available,,5.0,15591.0,687.0,20.0,32.0,184.0,4.4045218613001005,4.2664805580465455,0.994,4.422431190180241,1.0,1.0428093800789413,0.9009345029239766,3071.952412,150.94997957309135,20.12666394307885,137.4,19.4,True,True
424876,Szoboszlai,Dominik Szoboszlai,MID,Liverpool,LIV,7.0,25.8,a,1.0,fully available,,3.0,7819.0,402.0,15.0,21.0,160.0,4.631669393687328,4.358010503071943,1.0,4.553073717555854,0.8944271909999159,1.0447596935221732,0.7866261025876561,2690.261270849784,136.09953206293957,19.44279029470565,80.4,41.4,True,True
209244,Foden,Phil Foden,MID,Man City,MCI,7.0,26.2,a,1.0,fully available,,5.0,10666.0,745.0,53.0,29.0,131.0,6.126974512346322,5.430401629290561,1.0,5.732774259598539,1.0,1.055681448804272,0.614288596491228,2100.867,133.81995844933334,19.117136921333334,149.0,4.6,True,True
243016,Mac Allister,Alexis Mac Allister,MID,Liverpool,LIV,5.5,27.7,a,1.0,fully available,,5.0,12845.0,572.0,27.0,20.0,108.0,3.941671194508429,3.9040653889174,0.993,4.050258488101355,1.0,1.0447596935221732,0.7683184210526316,2618.4522285,117.83787071300038,21.425067402363705,114.4,1.8,True,True
223094,Haaland,Erling Haaland,FWD,Man City,MCI,15.5,26.1,a,1.0,fully available,,4.0,11009.0,909.0,112.0,28.0,239.0,7.183108471485022,6.58419331849887,1.0,7.055558576874988,0.959166304662544,1.0715904341769211,0.8086011394541802,2765.415896933296,216.7950427803795,13.986776953572871,181.8,69.7,True,True
178301,Watkins,Ollie Watkins,FWD,Aston Villa,AVL,8.0,30.6,a,1.0,fully available,,5.0,14727.0,887.0,77.0,41.0,167.0,5.64546872292497,5.4929342266736265,0.922,5.112954845364398,1.0,1.0095704666821452,0.8383406432748538,2755.307125,156.5306768359533,19.566334604494163,177.4,11.8,True,True
67089,Dubravka,Martin Dubravka,GKP,Spurs,TOT,4.0,37.6,a,1.0,fully available,,5.0,8530.0,322.0,0.0,0.0,96.0,3.1925801640566744,3.1275912620196262,0.7319999999999999,2.211670250940312,1.0,0.966049331103679,0.689378947368421,2041.747416,50.17413355446058,12.543533388615144,64.4,21.3,True,False
224967,Mykolenko,Vitalii Mykolenko,DEF,Everton,EVE,4.5,27.2,a,1.0,fully available,,5.0,12217.0,434.0,4.0,7.0,95.0,3.1905249736518204,3.100293666830713,0.998,3.186922331366472,1.0,1.0300020876826723,0.8185757309941519,2796.729471,99.03288451022932,22.00730766893985,86.8,1.5,True,False
216616,O'Shea,Dara O'Shea,DEF,Ipswich Town,IPS,4.0,27.5,a,1.0,fully available,,2.0,6014.0,118.0,3.0,6.0,0.0,1.69964271774702,2.2511409846916592,0.995,2.2398852797682007,0.6633249580710799,1.0,0.5007391983966555,1708.2467383702704,42.51418581652899,10.628546454132248,23.6,3.2,True,False
557012,Walle Egeli,Sindre Walle Egeli,FWD,Ipswich Town,IPS,4.5,20.2,a,1.0,fully available,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.003891683414459,1.0,5.003891683414459,0.0,1.0,0.2516988304093567,860.8100000000001,47.86000000000001,10.635555555555555,0.0,2.2,False,False
