web_name,full_name,position,team_short,now_cost_m,age,status,availability,availability_reason,total_points,last_season_points,w_points_per_90,age_factor,team_factor,confidence,projected_minutes,projected_points
Haaland,Erling Haaland,FWD,MCI,15.5,26.1,a,1.0,fully available,909.0,239.0,7.183,1.0,1.072,0.959,2765.416,216.795
Raya,David Raya Martín,GKP,ARS,6.0,30.9,a,1.0,fully available,700.0,162.0,4.15,0.991,1.22,1.0,3224.166,168.655
Gabriel,Gabriel dos Santos Magalhães,DEF,ARS,8.0,28.7,a,1.0,fully available,767.0,209.0,5.186,0.976,1.22,1.0,2753.002,168.024
Watkins,Ollie Watkins,FWD,AVL,8.0,30.6,a,1.0,fully available,887.0,167.0,5.645,0.922,1.01,1.0,2755.307,156.531
Mbeumo,Bryan Mbeumo,MID,MUN,8.0,27.0,a,1.0,fully available,780.0,148.0,5.379,1.0,1.017,1.0,2708.578,152.665
Saka,Bukayo Saka,MID,ARS,9.5,25.0,a,1.0,fully available,891.0,157.0,6.348,1.0,1.043,1.0,2331.672,152.65
Semenyo,Antoine Semenyo,MID,MCI,8.5,26.6,a,1.0,fully available,492.0,202.0,5.155,1.0,1.056,0.959,2729.692,152.548
Rice,Declan Rice,MID,ARS,7.5,27.6,a,1.0,fully available,687.0,184.0,4.405,0.994,1.043,1.0,3071.952,150.95
B.Fernandes,Bruno Borges Fernandes,MID,MUN,12.0,31.9,a,1.0,fully available,902.0,235.0,5.608,0.874,1.017,1.0,2890.725,148.406
Gibbs-White,Morgan Gibbs-White,MID,NFO,8.0,26.6,a,1.0,fully available,630.0,188.0,4.859,1.0,0.994,1.0,2900.592,147.329
João Pedro,João Pedro Junqueira de Jesus,FWD,CHE,7.5,24.9,a,1.0,fully available,467.0,177.0,5.51,1.0,1.021,0.938,2284.238,138.415
Szoboszlai,Dominik Szoboszlai,MID,LIV,7.0,25.8,a,1.0,fully available,402.0,160.0,4.632,1.0,1.045,0.894,2690.261,136.1
Guéhi,Marc Guéhi,DEF,MCI,6.0,26.1,a,1.0,fully available,579.0,179.0,3.896,1.0,1.109,1.0,3020.195,135.735
Pickford,Jordan Pickford,GKP,EVE,5.5,32.5,a,1.0,fully available,686.0,135.0,3.756,0.97,1.032,1.0,3347.956,133.887
Foden,Phil Foden,MID,MCI,7.0,26.2,a,1.0,fully available,745.0,131.0,6.127,1.0,1.056,1.0,2100.867,133.82
Rogers,Morgan Rogers,MID,CHE,7.5,24.1,a,1.0,fully available,365.0,169.0,4.66,1.0,1.016,0.894,2645.115,130.569
Cunha,Matheus Santos Carneiro da Cunha,MID,MUN,8.0,27.2,a,1.0,fully available,495.0,143.0,5.364,0.998,1.017,0.959,2309.949,127.032
Bruno G.,Bruno Guimarães Rodriguez Moura,MID,ARS,7.0,28.8,a,1.0,fully available,616.0,154.0,4.489,0.974,1.043,1.0,2601.384,126.735
Palmer,Cole Palmer,MID,CHE,9.5,24.3,a,1.0,fully available,600.0,114.0,6.282,1.0,1.016,1.0,2021.158,126.099
Enzo,Enzo Fernández,MID,CHE,7.0,25.6,a,1.0,fully available,411.0,157.0,4.028,1.0,1.016,0.959,2752.974,123.18
Anderson,Elliot Anderson,MID,MCI,6.5,23.8,a,1.0,fully available,359.0,180.0,4.367,1.004,1.056,0.959,2491.08,122.636
Gakpo,Cody Gakpo,MID,LIV,7.0,27.3,a,1.0,fully available,454.0,131.0,5.072,0.997,1.045,0.959,2272.753,122.448
Mitchell,Tyrick Mitchell,DEF,CRY,4.5,27.0,a,1.0,fully available,579.0,135.0,3.487,1.0,1.011,1.0,3183.424,119.468
Thiago,Igor Thiago Nascimento Rodrigues,FWD,BRE,8.0,25.1,a,1.0,fully available,190.0,181.0,4.959,1.0,1.017,0.787,2098.684,118.069
